CompanyName;InstagramLink;DisplayName;;Followers;Req. Followers;Extracted Followers;KVK code;Sector (KvK);Sector 2;Sector 3;Sector 4;Sector 5;Sector 6;Sector 7;Sector 8;SBI_1;SBI_2;SBI_3;SBI_4;SBI_5;SBI_6;SBI_7;SBI_8;
Emma Matras;https://www.instagram.com/emma_matras/;emma_matras;;4008;;;;;;;;;;;;;;;;;;;;
Voetbaldirect;https://www.instagram.com/voetbaldirect/;voetbaldirect;;3666;1229;688;28085635 0000;Detailhandel via internet in huis- en tuinartikelen;Winkels in sportartikelen (geen watersport);Detailhandel via internet in vrijetijdsartikelen;Groothandel in sportartikelen (geen watersport);Groothandel in bovenkleding;Winkels in bovenkleding en mode-artikelen (algemeen assortiment);;;47915;47643;47916;46496;46421;47713;;;
Broei Utrecht;https://www.instagram.com/broei.utrecht/;broei.utrecht;;3575;1219;1802;;Restaurants;;;;;;;;56101;;;;;;;;
hornback.nl;https://www.instagram.com/hornbachnl/?hl=nl;hornbachnl;;3481;;;30151645 0000;Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment;Winkels in ijzerwaren en gereedschappen;Verhuur en lease van overige machines en werktuigen en van overige goederen (geen automaten);;;;;;47528;47521;77399;;;;;;
old Scuola;https://www.instagram.com/oldscuola/;oldscuola;;3468;1206;1632;;Restaurants;;;;;;;;56101;;;;;;;;
lampenlicht.nl;https://www.instagram.com/lampenlicht.nl/;lampenlicht.nl;;3354;;;71894896 0000;Groothandel in verlichtingsartikelen;Winkels in verlichtingsartikelen;;;;;;;46473;47592;;;;;;;
Daka Sport;https://www.instagram.com/dakasport/;dakasport;;3245;1178;1321;24167836 0000;Winkels in sportartikelen (geen watersport);Winkels in bovenkleding en mode-artikelen (algemeen assortiment);Textielsupermarkten;Groothandel in sportartikelen (geen watersport);;;;;47643;47713;47718;46496;;;;;
Hockey Direct;https://www.instagram.com/hockeydirect.nl/;hockeydirect.nl;;3139;1164;1549;28085635 0000;Detailhandel via internet in huis- en tuinartikelen;Winkels in sportartikelen (geen watersport);Detailhandel via internet in vrijetijdsartikelen;Groothandel in sportartikelen (geen watersport);Groothandel in bovenkleding;Winkels in bovenkleding en mode-artikelen (algemeen assortiment);;;47915;47643;47916;46496;46421;47713;;;
WT urban;https://www.instagram.com/wturbankitchen/;wturbankitchen;;3122;1161;1147;;Restaurants;;;;;;;;56101;;;;;;;;
Sport2000;https://www.instagram.com/sport2000nederland/;sport2000nederland;;3051;1152;937;54353335 0000;Winkels in sportartikelen (geen watersport);;;;;;;;47643;;;;;;;;
Gorilla Sports;https://www.instagram.com/gorillasportsnl/;gorillasportsnl;;2737;1104;1059;;46496 - Groothandel in sportartikelen (geen watersport);;;;;;;;;;;;;;;;
le Jardin Utecht;https://www.instagram.com/lejardinutrecht/;lejardinutrecht;;2684;1095;1401;;Restaurants;;;;;;;;56101;;;;;;;;
profijtmeubel.nl;https://www.instagram.com/profijtmeubel/?hl=nl;profijtmeubel;;2457;;;02324674 0000;Winkels in meubels;Winkels in vloerbedekking en gordijnen;Winkels in artikelen voor woninginrichting algemeen assortiment;Winkels in verlichtingsartikelen;;;;;47591;4753;47593;47592;;;;;
biano.nl;https://www.instagram.com/bianonl/;bianonl;;2445;;;;;;;;;;;;;;;;;;;;
Pasta e Basta;https://www.instagram.com/pastaebasta_amsterdam/;pastaebasta_amsterdam;;2444;1053;1084;;Restaurants;;;;;;;;56101;;;;;;;;
tennisdirect;https://www.instagram.com/tennisdirect/;tennisdirect;;2274;1020;745;28085635 0000;Detailhandel via internet in huis- en tuinartikelen;Winkels in sportartikelen (geen watersport);Detailhandel via internet in vrijetijdsartikelen;Groothandel in sportartikelen (geen watersport);Groothandel in bovenkleding;Winkels in bovenkleding en mode-artikelen (algemeen assortiment);;;47915;47643;47916;46496;46421;47713;;;
